Date,Price,Open,High,Low,InterpolateSLinear_Price,InterpolateSLinear_Open,InterpolateSLinear_High,InterpolateSLinear_Low
2019-11-11,0.215,0.21,0.22,0.21,0.215,0.21,0.22,0.21
2019-11-12,0.235,0.215,0.235,0.215,0.235,0.215,0.235,0.215
2019-11-13,0.21,0.23,0.23,0.21,0.21,0.23,0.23,0.21
2019-11-14,0.205,0.215,0.22,0.205,0.205,0.215,0.22,0.205
2019-11-15,0.205,0.21,0.215,0.2,0.205,0.21,0.215,0.2
2019-11-16,,,,,0.205,0.21166666666666664,0.21499999999999997,0.20166666666666666
2019-11-17,,,,,0.205,0.21333333333333332,0.21499999999999997,0.2033333333333333
2019-11-18,0.205,0.215,0.215,0.205,0.205,0.215,0.215,0.205
2019-11-19,0.21,0.21,0.215,0.20199999999999999,0.21,0.21,0.215,0.20199999999999999
2019-11-20,0.2,0.205,0.21,0.195,0.2,0.205,0.21,0.195
2019-11-21,0.205,0.2,0.205,0.195,0.205,0.2,0.205,0.195
2019-11-22,0.2,0.2,0.2,0.195,0.2,0.2,0.2,0.195
2019-11-23,,,,,0.2,0.20166666666666666,0.20166666666666666,0.19333333333333333
2019-11-24,,,,,0.2,0.2033333333333333,0.2033333333333333,0.19166666666666665
2019-11-25,0.2,0.205,0.205,0.19,0.2,0.205,0.205,0.19
2019-11-26,0.195,0.2,0.2,0.19,0.195,0.2,0.2,0.19
2019-11-27,0.195,0.2,0.2,0.195,0.195,0.2,0.2,0.195
2019-11-28,0.195,0.19,0.195,0.19,0.195,0.19,0.195,0.19
2019-11-29,0.198,0.195,0.2,0.195,0.198,0.195,0.2,0.195
2019-11-30,,,,,0.19533333333333333,0.19666666666666666,0.2,0.19333333333333333
2019-12-01,,,,,0.19266666666666665,0.19833333333333333,0.2,0.19166666666666665
2019-12-02,0.19,0.2,0.2,0.19,0.19,0.2,0.2,0.19
2019-12-03,0.19,0.19,0.195,0.19,0.19,0.19,0.195,0.19
2019-12-04,0.19,0.19,0.195,0.19,0.19,0.19,0.195,0.19
2019-12-05,0.195,0.195,0.20199999999999999,0.195,0.195,0.195,0.20199999999999999,0.195
2019-12-06,0.205,0.20199999999999999,0.215,0.2,0.205,0.20199999999999999,0.215,0.2
